A,B,C,D
1.0,36.0,-22.73000000834465,347.98
2.0,23.0,-12.969999999254942,218.0800000014901
3.0,29.0,-2.719999988079071,278.13999999642374
4.0,36.0,7.130000005960465,348.3200000035763
5.0,39.0,17.160000007152558,378.13999999642374
6.0,25.0,27.340000014305115,238.23
7.0,16.0,37.359999995231625,148.23999999046325
8.0,29.0,47.29999999284744,278.28000001192095
9.0,32.0,57.109999995231625,308.0399999986589
10.0,32.0,67.34000001430512,308.18000000298025
11.0,23.0,77.29000000238419,218.18000000298022
12.0,0.0,87.32999999403954,-11.890000004768371
13.0,7.0,97.13999999642373,58.31000001311302
14.0,5.0,107.32000000357628,38.12000000059604
15.0,27.0,117.03000000074506,258.2900000023842
16.0,15.0,127.1899999934435,138.050000000298
17.0,32.0,137.00999999932944,308.3699999856949
18.0,34.0,147.15000000178813,328.1999999988079
19.0,26.0,157.310000013113,248.26000000119208
20.0,10.0,167.13000000596045,88.21999999463559
21.0,5.0,177.03999999865889,38.25000001072883
22.0,15.0,187.03000000074505,138.35999999523162
23.0,31.0,197.10999999523162,298.0300000007451
24.0,24.0,207.32999999403953,228.310000013113
25.0,0.0,217.310000013113,-11.839999992847442
26.0,7.0,227.08999999940394,58.16999999761581
27.0,17.0,237.28000001192092,158.310000013113
28.0,4.0,246.99999999955295,27.999999999552966
29.0,38.0,257.00999999932947,368.26999999165537
30.0,3.0,267.26999999165537,17.989999999776483
31.0,5.0,277.2399999904633,38.189999993443486
32.0,9.0,287.29999999284746,78.16000000715256
33.0,38.0,297.0300000007451,368.2199999946356
34.0,10.0,307.31000001311304,88.21000000417233
35.0,32.0,317.35999999523165,308.0399999986589
36.0,9.0,327.13999999642374,78.26999999165535
37.0,31.0,337.1600000071526,298.31000001311304
38.0,19.0,347.2399999904633,178.03999999865889
39.0,4.0,357.089999999404,28.340000014305115
40.0,24.0,367.0999999973178,228.1399999964237
41.0,16.0,377.28000001192095,148.26000000119208
42.0,0.0,387.35999999523165,-12.010000000223517
43.0,11.0,398.0,98.0399999986589
44.0,1.0,407.13999999642374,-1.9800000008940697
45.0,26.0,417.15000000178816,247.98
46.0,26.0,427.21000000417234,248.21000000417231
47.0,10.0,437.0700000035763,87.99999999955297
48.0,15.0,447.31000001311304,138.05999999821185
49.0,10.0,457.2900000023842,88.28000001192093
50.0,18.0,467.2900000023842,168.28000001192092
51.0,18.0,477.089999999404,168.08999999940394
52.0,8.0,487.1300000059605,67.98
53.0,32.0,497.35999999523165,308.2600000011921
54.0,7.0,507.3500000047684,58.320000003576276
55.0,19.0,517.1999999988079,178.05999999821185
56.0,24.0,527.2199999946356,228.21000000417231
57.0,17.0,537.1399999964237,157.98
58.0,33.0,547.310000013113,318.2900000023842
59.0,19.0,557.3200000035763,178.03999999865889
60.0,21.0,567.2999999928475,198.29999999284743
61.0,4.0,577.3200000035763,28.340000014305115
62.0,7.0,587.1500000017882,57.99999999955296
63.0,39.0,597.019999999106,378.10999999523165
64.0,0.0,607.089999999404,-11.780000005364418
65.0,19.0,617.1200000005961,178.23
66.0,33.0,627.0700000035763,318.3200000035763
67.0,34.0,637.0800000014901,328.13999999642374
68.0,36.0,647.3699999856949,348.25000001072885
69.0,8.0,657.1699999976158,68.03000000074506
70.0,3.0,667.3400000143051,18.299999992847443
71.0,0.0,677.1500000017882,-11.73000000834465
72.0,3.0,687.089999999404,18.250000010728836
73.0,5.0,697.23,38.150000001788136
74.0,29.0,707.089999999404,278.05000000029804
75.0,12.0,717.3299999940396,108.0399999986589
76.0,8.0,727.0599999982119,67.99999999955297
77.0,23.0,737.2399999904633,218.23999999046325
78.0,32.0,747.2999999928475,308.2900000023842
79.0,18.0,757.3400000143051,167.99999999955295
80.0,0.0,767.3200000035763,-11.780000005364418
81.0,24.0,777.1699999976158,228.32000000357627
82.0,27.0,787.280000011921,258.3500000047684
83.0,26.0,797.3299999940396,248.35000000476836
84.0,34.0,807.2500000107289,328.21000000417234
85.0,30.0,817.23,288.3200000035763
86.0,35.0,827.2999999928475,338.26999999165537
87.0,34.0,837.3400000143051,328.29999999284746
88.0,22.0,847.1899999934435,208.09999999731778
89.0,12.0,857.050000000298,108.13000000596047
90.0,8.0,867.3400000143051,68.29999999284745
91.0,31.0,877.019999999106,298.3500000047684
92.0,19.0,887.3200000035763,178.05999999821185
93.0,35.0,897.2500000107289,338.3500000047684
94.0,27.0,907.2500000107289,257.9899999997765
95.0,31.0,917.3599999952316,298.3200000035763
96.0,25.0,927.0800000014901,238.3400000143051
97.0,5.0,937.23,38.34000001430511
98.0,37.0,947.3599999952316,358.23
99.0,14.0,957.0800000014901,128.2199999946356
100.0,13.0,967.0599999982119,118.08000000149012
